[2026-07-29 08:25:27] local.WARNING: Yahoo chart request failed {"ticker":"^JKSE.JK","status":404} 
[2026-07-29 08:26:06] local.WARNING: Yahoo chart request failed {"ticker":"^JKSE.JK","status":404} 
[2026-07-29 08:26:08] local.WARNING: Yahoo chart request failed {"ticker":"^JKSE.JK","status":404} 
[2026-07-29 08:34:55] local.WARNING: Yahoo chart request failed {"ticker":"^JKSE.JK","status":404} 
[2026-07-29 09:16:16] local.WARNING: Yahoo chart request failed {"ticker":"^JKSE.JK","status":404} 
[2026-07-29 09:37:31] local.WARNING: Yahoo chart request failed {"ticker":"^JKSE.JK","status":404} 
[2026-07-29 10:09:06] local.WARNING: Yahoo chart request failed {"ticker":"^JKSE.JK","status":404} 
[2026-07-29 10:26:50] local.WARNING: Yahoo chart request failed {"ticker":"^JKSE.JK","status":404} 
[2026-07-29 10:46:12] local.WARNING: Yahoo chart request failed {"ticker":"^JKSE.JK","status":404} 
[2026-07-29 11:56:29] local.WARNING: Yahoo chart request failed {"ticker":"^JKSE.JK","status":404} 
[2026-07-29 11:56:33] local.WARNING: Yahoo chart request failed {"ticker":"^JKSE.JK","status":404} 
